Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Label
2059,2514,3475,2501,2043,-0.05,-9.59,3.62,E
2064,2531,3526,2519,2067,-0.03,-9.51,3.6,E
4095,3021,4095,4095,4095,-0.98,-8.92,5.15,F
4095,3358,4095,4095,4095,-0.26,-8.94,4.86,F
4095,3440,4095,4095,4095,-0.59,-8.9,5.11,F
4095,3157,4095,4095,4095,0.07,-8.83,5.02,F
4095,3233,4095,4095,4095,-0.68,-9.0,5.28,F
4095,3751,4095,4095,4095,-0.49,-8.96,5.25,F
4095,3334,4095,4095,4095,-0.05,-9.04,5.09,F
4095,3977,4095,4095,4095,-0.14,-9.22,5.04,F
4095,4033,4095,4095,4095,-0.16,-9.08,5.08,F
4095,3973,4095,4095,4095,-0.13,-9.09,5.09,F
4095,3218,4095,4095,4095,1.6,-8.5,5.91,F
4095,3668,4095,4095,4095,1.6,-8.43,5.65,F
4095,3649,4095,4095,4095,1.62,-8.52,5.89,F
4095,3611,4095,4095,4095,1.34,-8.53,6.05,F
4095,3835,4095,4095,4095,1.77,-8.53,5.8,F
4095,3824,4095,4095,4095,1.53,-8.45,6.1,F
4095,4095,2297,2061,2093,-1.08,-8.68,6.96,G
4095,4095,2016,1930,1786,-1.81,-7.65,7.14,G
4095,4095,2044,1982,1861,-1.91,-7.63,7.4,G
4095,4095,2074,2058,1919,-1.36,-7.54,7.22,G
4095,4095,2129,2085,1982,-1.34,-7.64,7.58,G
4095,4095,1963,1921,1766,-1.19,-7.76,7.39,G
4095,4095,2203,2201,2080,-1.2,-7.78,7.32,G
4095,4095,2257,2221,2118,-1.12,-7.89,6.95,G
4095,4095,2332,2278,2153,-0.75,-8.21,6.69,G
4095,4095,2366,2306,2165,-0.69,-8.26,6.49,G
4095,4095,2396,2317,2169,-0.42,-8.11,6.49,G
4095,4095,2449,2363,2192,-0.86,-8.24,6.72,G
4095,4095,2219,2166,1993,-0.8,-8.14,6.66,G
4095,4095,2497,2411,2207,-0.85,-8.1,6.62,G
4095,4095,2512,2404,2198,-0.81,-8.16,6.62,G
4095,4095,2551,2435,2219,-0.87,-8.16,6.66,G
4095,4095,2559,2479,2247,-0.87,-8.21,6.7,G
4095,4095,2612,2481,2287,-0.78,-8.2,6.56,G
4095,4095,2599,2495,2311,-0.6,-8.27,6.52,G
4095,4095,2636,2529,2343,-0.53,-8.21,6.46,G
4095,4095,2642,2590,2363,-0.88,-8.22,6.52,G
4095,4095,2624,2613,2369,-0.88,-8.27,6.69,G
4095,4095,2650,2659,2420,-0.82,-8.25,6.61,G
4095,4095,2668,2639,2445,-0.81,-8.18,6.48,G
4095,4095,2405,2418,2225,-0.72,-8.14,6.58,G
4095,4095,2559,2635,2441,-0.76,-8.15,6.57,G
4095,4095,2433,2510,2248,-0.79,-8.24,6.72,G
4095,4095,2442,2494,2256,-0.65,-8.29,6.5,G
4095,4095,2718,2726,2480,-0.87,-8.32,6.48,G
4095,4095,2738,2717,2489,-0.55,-8.13,6.65,G
4095,4095,2730,2765,2510,-0.78,-7.65,6.27,G
4095,4095,4095,3090,2455,2.41,-4.12,9.29,H
4095,4095,4095,2950,2583,5.68,-2.95,9.35,H
4095,4095,4095,2559,2234,5.5,-2.8,9.33,H
4095,4095,4095,2899,2645,5.54,-2.74,9.14,H
4095,4095,4095,2682,2534,5.36,-2.93,9.32,H
4095,4095,4095,3001,2865,4.91,-2.99,9.29,H
4095,4095,4095,2768,2633,5.12,-2.98,9.46,H
4095,4095,4095,3137,3025,5.06,-3.01,9.41,H
4095,4095,4095,3127,3063,5.42,-3.03,9.19,H
4095,4095,4095,3154,3070,5.05,-2.95,9.37,H
4095,4095,4095,3216,3115,5.37,-3.0,9.36,H
4095,4095,4095,3227,3105,5.16,-2.92,9.25,H
4095,4095,4095,3280,3111,5.08,-3.02,9.42,H
4095,4095,4095,3281,3147,5.04,-3.03,9.26,H
4095,4095,4095,3287,3139,5.06,-3.06,9.33,H
4095,4095,4095,3344,3118,5.07,-3.09,9.29,H
4095,4095,4095,3415,3131,5.22,-3.02,9.33,H
4095,4095,4095,3387,3114,4.87,-2.98,9.54,H
4095,4095,4095,3439,3199,5.21,-3.12,9.31,H
4095,4095,4095,3410,3210,5.28,-3.17,9.39,H
4095,4095,4095,3136,2826,5.04,-3.6,9.22,H
4095,4095,4095,3534,3258,4.86,-4.59,9.0,H
4095,4095,4095,3583,3314,5.37,-4.62,8.37,H
4095,4095,4095,3632,3280,5.0,-4.65,8.2,H
4095,4095,4095,3684,3299,4.92,-5.09,8.42,H
4095,4095,4095,3648,3360,5.43,-4.69,8.1,H
4095,4095,4095,3661,3362,5.3,-4.77,8.18,H
4095,4095,4095,3670,3353,5.63,-4.63,7.76,H
4095,2171,2637,4095,4095,-1.0,-10.41,3.58,I
4095,1987,2678,4095,4095,-1.43,-8.93,3.85,I
4095,1936,2639,4095,4095,-1.89,-9.71,3.91,I
4095,2030,2179,4095,4095,-1.22,-9.65,3.34,I
4095,2186,2620,3611,4095,0.09,-9.16,3.26,I
4095,2206,2805,3613,4095,-0.56,-9.24,3.37,I
4095,2193,2821,3738,4095,-1.06,-9.46,3.62,I
4095,2239,2880,3813,4095,0.36,-9.12,3.04,I
4095,2263,2874,3859,4095,-0.9,-9.59,3.49,I
4095,2277,2901,3920,4095,-0.64,-9.53,3.33,I
4095,2302,2941,3920,4095,-0.8,-9.58,3.45,I
4095,2315,2977,4030,4095,-0.78,-9.4,3.61,I
4095,2294,3061,4095,4095,-0.7,-9.55,2.97,I
4095,2122,2855,3756,4095,-0.83,-9.57,3.48,I
4095,2352,3163,4095,4095,-0.29,-9.28,3.54,I
4095,2342,3172,4095,4095,-0.31,-9.6,3.15,I
4095,2382,3173,4095,4095,-0.29,-9.53,3.31,I
4095,2394,3215,4095,4095,-0.45,-9.52,3.69,I
4095,2413,3246,4095,4095,-0.72,-9.61,3.7,I
4095,2422,3201,4095,4095,-0.54,-9.56,3.17,I
4095,2393,3203,4095,4095,-0.32,-9.33,3.53,I
4095,2373,3233,4095,4095,-0.43,-9.5,3.5,I
4095,2375,3280,4095,4095,-0.98,-9.33,3.82,I
4095,1895,2619,2669,4095,3.78,-9.26,0.76,J
4095,2011,2897,3000,4095,3.22,-8.9,1.1,J
4095,2020,2938,2960,4095,2.42,-9.42,1.48,J
4095,2094,2942,3203,4095,2.81,-9.47,1.2,J
4095,2037,3008,3251,4095,3.12,-9.31,1.38,J
4095,2097,3070,3359,4095,2.82,-9.5,1.26,J
4095,2117,3020,3390,4095,2.91,-9.41,1.41,J
4095,1968,2809,3143,4095,2.76,-9.46,1.48,J
4095,2139,3051,3443,4095,2.88,-9.42,1.3,J
4095,2176,3152,3620,4095,3.15,-9.3,1.19,J
4095,2192,3159,3618,4095,2.91,-9.24,1.47,J
4095,2017,2931,3322,4095,2.61,-9.35,1.58,J
4095,2187,3145,3602,4095,3.31,-9.39,1.23,J
4095,2208,3166,3559,4095,3.01,-9.26,1.32,J
4095,2208,3200,3637,4095,2.93,-9.37,1.3,J
4095,2198,3216,3667,4095,3.1,-9.31,1.18,J
4095,2229,3211,3671,4095,3.04,-9.28,1.45,J
4095,2224,3181,3689,4095,2.85,-9.26,1.44,J
4095,2232,3213,3741,4095,3.22,-9.34,1.26,J
4095,2256,3297,3762,4095,2.96,-9.51,1.21,J
4095,2262,3258,3735,4095,2.98,-9.39,1.4,J
4095,2095,3082,3429,4095,3.09,-9.23,1.36,J
4095,2282,3295,3760,4095,2.95,-9.36,1.67,J
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
4095,4095,2758,2956,2589,3.61,-8.59,3.17,L
4095,4095,2469,2725,2379,5.41,-8.57,3.58,L
4095,4095,2559,2768,2418,4.43,-8.7,3.06,L
4095,4095,2640,2634,2537,3.33,-9.0,3.67,L
4095,4095,2651,2637,2559,3.1,-9.1,3.65,L
4095,4095,2654,2670,2601,3.38,-8.98,3.55,L
4095,4095,2741,2666,2597,3.44,-8.97,3.17,L
4095,4095,2551,2491,2459,3.36,-9.05,3.09,L
4095,4095,2851,2786,2718,3.16,-9.05,3.64,L
4095,4095,2943,2883,2767,3.6,-9.03,3.39,L
4095,4095,2992,2868,2798,3.15,-8.99,3.14,L
4095,4095,2991,2956,2800,3.06,-9.19,2.86,L
